ICO	ROK_UZ	stari	zamestnanci	zamereni	ROA	PROA	ROE	2h_vyuz	2h_spok
44947429	2010	2	4	1	0.141179353798234	0.113019692789324	0.155999090601896	1	0
44947429	2009	2	4	1	0.12956984251647	-4.34850799313699E-02	0.150763466099887	1	0
44947429	2008	2	4	1	0.105521841175871	9.94434239026129E-02	0.133279995497107	1	0
44961944	2009	2	3	4	-2.25880367262569E-02	-1.85767774258505E-02	-3.23264010961769E-02	0	0
44961944	2010	2	3	4	7.35437870162728E-03	9.07365878902881E-03	0.014604749453777	0	0
44961944	2008	2	3	4	8.90308240272087E-02	0.105206073752712	0.161504972274415	0	0
63475073	2008	2	3	1	0.189206554513157	0.236635226728707	0.221686812037281	0	0
63475073	2010	2	3	1	6.26195860149591E-03	1.40272842481922E-02	-6.72425516911376E-03	0	0
63475073	2009	2	3	1	3.99217545836008E-02	6.71984909812552E-02	0.042835703202503	0	0
46972498	2010	2	3	1	8.08376478411628E-03	3.96024319574407E-03	0.012698231168039	0	0
46972498	2009	2	3	1	0.112643738791012	0.108526743327355	0.128773460073013	0	0
46972498	2008	2	3	1	0.163111413832204	3.88123701126561E-02	0.315879970708775	0	0
25847708	2010	2	2	1	2.36825647608703E-02	5.71903492314275E-02	6.79808592530948E-02	0	0
25847708	2009	2	2	1	-5.65099758766377E-02	-1.56335381375698E-02	-0.239682896660295	0	0
25847708	2008	2	2	1	2.08720476152002E-02	5.69470253965689E-02	4.80341414691728E-02	0	0
45193584	2010	2	3	2	0.147176896279235	0.181704933227443	0.260446414292568	3	5
45193584	2008	2	3	2	0.135208945225949	0.156946315394298	0.224788164704805	3	5
45193584	2009	2	3	2	8.25154092221269E-02	0.103403682609035	0.221506713246076	3	5
49973606	2008	2	2	3	9.17987935325632E-02	0.136628520118839	0.102683561425096	0	0
49973606	2009	2	2	3	5.67630631917658E-02	7.77839003517079E-02	5.39669040785231E-02	0	0
49973606	2010	2	2	3	7.42739323334876E-02	9.79068564740467E-02	6.64606746105379E-02	0	0
25310852	2008	2	3	3	0.094566369002573	0.125094596639927	0.442259456205478	0	0
25310852	2010	2	3	3	2.61556231813234E-02	3.82727292920767E-02	5.84079727513561E-02	0	0
25310852	2009	2	3	3	1.40908228557631E-02	3.14240872009796E-02	4.89614243323442E-02	0	0
26166062	2009	2	2	2	5.81467081761187E-02	6.08295195328752E-02	0.361681242191683	0	4
26166062	2010	2	2	2	3.46918489065606E-02	3.46492473729054E-02	0.178987471609642	0	4
26166062	2008	2	2	2	-0.598331729226821	-0.839927993440987	-3.51314317673378	0	4
25692089	2008	2	4	1	6.35311553803313E-02	0.113033560854739	0.124737077150172	0	0
25692089	2009	2	4	1	5.66713855954698E-02	0.116177077803339	0.062715701079372	0	0
25692089	2010	2	4	1	0.101639547599279	0.154711579352383	0.272230470354108	0	0
27756971	2010	2	3	2	8.11183078300235E-02	0.109751135517666	7.77256799184843E-02	0	0
27756971	2008	2	3	2	3.43028791353207E-02	-5.56963609624832E-03	5.09833930125648E-02	0	0
27756971	2009	2	3	2	0.042696215787835	4.97898446123801E-02	4.55077600069241E-02	0	0
00543179	2008	1	3	3	0.142413365832659	0.189358991512557	0.667919972404277	3	5
00543179	2009	1	3	3	0.182978672802621	0.145170017064136	0.779558546740432	3	5
00543179	2010	1	3	3	0.11617185496379	0.106810937557246	0.306266777746922	3	5
25114638	2008	2	4	1	-3.53277493568885E-02	-2.23869916063031E-03	-8.81615924586423E-02	0	0
25114638	2009	2	4	1	0.032932110189314	4.28494563091716E-02	3.52631963906255E-02	0	0
25114638	2010	2	4	1	0.111801871702283	0.134182127554096	0.126647340663135	0	0
43541763	2008	2	3	1	7.11565061562677E-02	9.52432867042334E-02	9.27983169561536E-02	0	0
43541763	2009	2	3	1	2.82518186393375E-03	4.86114288328682E-04	2.34544295729764E-03	0	0
43541763	2010	2	3	1	2.00310378916325E-02	3.32414714832467E-02	2.90820926435829E-02	0	0
18164439	2008	1	4	1	-8.15546187730637E-02	-7.96352433074833E-02	-0.11163700878832	3	2
18164439	2010	1	4	1	-2.90495080245344E-02	-3.02958238510939E-02	-0.043825627652418	3	2
18164439	2009	1	4	1	5.50712703893867E-03	1.54938122232531E-03	7.0263231055119E-03	3	2
18198627	2009	1	4	1	-1.51862276624992E-03	1.54218760227793E-02	-6.20721601729374E-02	0	0
18198627	2008	1	4	1	2.31667623970898E-02	0.030045677087607	0.218721755971595	0	0
18198627	2010	1	4	1	1.54066901267325E-02	3.16871207445231E-02	4.19184113156292E-02	0	0
47151561	2009	2	4	1	0.201679633534502	0.276170047747158	0.317485907072087	0	0
47151561	2008	2	4	1	7.54271743241991E-02	0.122765178748124	0.153486234384654	0	0
47151561	2010	2	4	1	0.130535619367249	0.155842329447266	0.251787864638372	0	0
42396158	2008	2	3	1	0.176712642720227	0.227386136344695	0.182933486672587	3	0
42396158	2009	2	3	1	0.172890293434905	0.213517336966858	0.175174616813105	3	0
42396158	2010	2	3	1	0.109224654040765	0.135718115042792	0.1210449472333	3	0
25730878	2008	2	3	2	0.169407733037457	0.203606690917262	0.184940599216952	0	0
25730878	2009	2	3	2	0.111772954175781	0.148555723820741	0.12530887031146	0	0
25730878	2010	2	3	2	0.120860458533824	0.143707896971412	0.130366557006979	0	0
47674695	2008	2	2	1	0.393874160305133	0.447057135129466	0.384658818215183	0	0
47674695	2010	2	2	1	0.401225039140825	0.466558628835114	0.403584219283156	0	0
47674695	2009	2	2	1	0.434762071019285	0.51843769895874	0.421506786440233	0	0
25574931	2009	2	2	2	1.92323599966912E-02	3.19712134998759E-02	0.025493824829097	2	3
25574931	2008	2	2	2	0.107575111671269	0.149148332808185	0.16612518103887	2	3
25574931	2010	2	2	2	0.146046012723776	0.185530403905903	0.175481468551812	2	3
46966170	2010	2	3	1	7.11111582100519E-02	9.81341754623938E-02	0.134406686560074	3	4
46966170	2009	2	3	1	7.80009029575038E-02	0.190886488067607	0.143498938428875	3	4
46966170	2008	2	3	1	0.161048968431519	0.278179633772475	0.232355774709167	3	4
47117087	2008	2	3	2	0.076714102278395	0.11212632517271	0.152195867565576	2	3
47117087	2010	2	3	2	5.20216545423786E-02	7.32194214176958E-02	8.30294935200895E-02	2	3
47117087	2009	2	3	2	1.23272977602741E-03	1.21191745513344E-02	-1.44823171707473E-02	2	3
25255843	2009	2	4	1	2.81423465702747E-02	3.91377620741454E-02	0.05234625873456	3	3
25255843	2008	2	4	1	9.16345602154392E-03	7.75904011818627E-03	2.24525186550902E-02	3	3
25255843	2010	2	4	1	8.97409190084094E-03	3.69808969340804E-03	1.52494098267247E-02	3	3
45197164	2008	2	3	1	0.137360786384091	0.183437664982276	0.162407895897308	0	0
45197164	2009	2	3	1	0.111839108489503	0.166532467711731	0.127051792555634	0	0
45197164	2010	2	3	1	8.34334241199059E-02	0.113502951973339	0.10128776457618	0	0
46903470	2010	2	3	1	4.83831789889176E-02	8.04539243965386E-02	8.77637412086264E-02	0	0
46903470	2008	2	3	1	0.053796022779182	0.09342357706246	0.115776630689817	0	0
46903470	2009	2	3	1	7.55671500955492E-03	3.29862900731883E-02	1.44886999328709E-02	0	0
46347828	2008	2	4	2	6.65536175419564E-02	8.71493419784077E-02	0.131047788661324	3	4
46347828	2010	2	4	2	6.99118629588879E-02	8.01650305637358E-02	0.148268932449584	3	4
46347828	2009	2	4	2	9.75317263143759E-02	0.123594977506211	0.197261779552146	3	4
26115271	2009	2	4	2	0.112089508792011	-6.08829508002605E-03	0.168685225465646	2	2
26115271	2010	2	4	2	-2.87960342099537E-02	-2.13449551421937E-02	-0.047558895600426	2	2
26115271	2008	2	4	2	0.225222152934757	-1.71291604957518E-02	0.362873320620103	2	2
